trip_id,arrival_time,departure_time,stop_id,stop_sequence,timepoint
G6583,12:23:00,12:23:00,GZN_pf,1,1
G6583,12:36:00,12:42:00,QIS_pf2,2,1
G6583,13:04:00,13:08:00,SZB_pf,3,1
G6583,13:26:00,13:26:00,WEK_pf,4,1
G5645,13:22:00,13:22:00,SZB_pf,1,1
G5645,13:30:00,13:32:00,FUT_pf56,2,1
G5645,13:46:00,13:46:00,WEK_pf,3,1
G5807,13:59:00,13:59:00,FUT_pf56,1,1
G5807,14:13:00,14:13:00,WEK_pf,2,1
G5621,14:22:00,14:22:00,SZB_pf,1,1
G5621,14:30:00,14:34:00,FUT_pf56,2,1
G5621,14:48:00,14:48:00,WEK_pf,3,1
G5647,14:49:00,14:49:00,SZB_pf,1,1
G5647,15:07:00,15:07:00,WEK_pf,2,1
G5809,15:04:00,15:04:00,FUT_pf56,1,1
G5809,15:18:00,15:26:00,WEK_pf,2,1
G5859,15:23:00,15:23:00,FUT_pf56,1,1
G5859,15:38:00,15:39:00,WEK_pf,2,1
G5623,15:43:00,15:43:00,SZB_pf,1,1
G5623,15:51:00,15:54:00,FUT_pf56,2,1
G5623,16:08:00,16:08:00,WEK_pf,3,1
G5805,15:58:00,15:58:00,FUT_pf56,1,1
G5805,16:12:00,16:14:00,WEK_pf,2,1
G5635,16:26:00,16:26:00,SZB_pf,1,1
G5635,16:34:00,16:37:00,FUT_pf56,2,1
G5635,16:51:00,16:50:00,WEK_pf,3,1
G5827,16:55:00,16:55:00,FUT_pf56,1,1
G5827,17:10:00,17:05:00,WEK_pf,2,1
G5649,17:14:00,17:14:00,SZB_pf,1,1
G5649,17:22:00,17:24:00,FUT_pf56,2,1
G5649,17:38:00,17:35:00,WEK_pf,3,1
G5813,17:43:00,17:43:00,FUT_pf56,1,1
G5813,17:57:00,17:59:00,WEK_pf,2,1
G5829,18:03:00,18:03:00,FUT_pf56,1,1
G5829,18:17:00,18:07:00,WEK_pf,2,1
G5651,18:46:00,18:46:00,SZB_pf,1,1
G5651,19:04:00,18:53:00,WEK_pf,2,1
G6585,17:47:00,17:47:00,GZN_pf,1,1
G6585,18:00:00,18:02:00,QIS_pf2,2,1
G6585,18:23:00,18:27:00,SZB_pf,3,1
G6585,18:35:00,18:37:00,FUT_pf56,4,1
G6585,18:51:00,18:51:00,WEK_pf,5,1
G5861,18:55:00,18:55:00,FUT_pf56,1,1
G5861,19:09:00,19:07:00,WEK_pf,2,1
G5831,19:20:00,19:20:00,FUT_pf56,1,1
G5831,19:34:00,19:34:00,WEK_pf,2,1
G5653,19:57:00,19:57:00,SZB_pf,1,1
G5653,20:18:00,20:16:00,WEK_pf,2,1
G5823,20:35:00,20:35:00,FUT_pf56,1,1
G5823,20:49:00,20:50:00,WEK_pf,2,1
G5655,21:20:00,21:20:00,SZB_pf,1,1
G5655,21:28:00,21:30:00,FUT_pf56,2,1
G5655,21:44:00,21:44:00,WEK_pf,3,1
G6587,21:32:00,21:32:00,GZN_pf,1,1
G6587,21:50:00,21:52:00,HUM_pf34,2,1
G6587,22:10:00,22:13:00,SZB_pf,3,1
G6587,22:32:00,22:32:00,WEK_pf,4,1
